Period,Value,Text
morning (06:00-09:59),4.67069609,+25%
midday (10:00-13:59),3.34216134,-11% 
afternoon (14:00-17:59),3.45773592,-8%
evening (18:00-21:59),3.50,+37%
night (22:00-05:59),5.12808413,0%


